COU,country,VAR,Variable,YEA,year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,pollution_rate,Flag Codes,Flags
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2005,2005,M3,Cubic metres,,Millions,,,,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2010,2010,M3,Cubic metres,6,Millions,,,,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2015,2015,M3,Cubic metres,6,Millions,,,144.152,B,Break
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2016,2016,M3,Cubic metres,,Millions,,,148.908,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2017,2017,M3,Cubic metres,6,Millions,,,202.822,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2018,2018,M3,Cubic metres,6,Millions,,,171.693,,
AUS,Australia,NF_PUB,Public water supply - non-freshwater,2019,2019,M3,Cubic metres,6,Millions,,,131.636,,
AUS,Australia,NF_ELECCOOL,Electricity production (cooling). Non-freshwater,2005,2005,M3,Cubic metres,6,Millions,,,5927.76,,
AUS,Australia,REUSE,Total abstractions of reused water,2005,2005,M3,Cubic metres,6,Millions,,,424.615,,
AUS,Australia,REUSE,Total abstractions of reused water,2010,2010,M3,Cubic metres,6,Millions,,,340,,
AUS,Australia,REUSE,Total abstractions of reused water,2015,2015,M3,Cubic metres,6,Millions,,,326.302,B,Break
AUS,Australia,REUSE,Total abstractions of reused water,2016,2016,M3,Cubic metres,6,Millions,,,333.79,,
AUS,Australia,REUSE,Total abstractions of reused water,2017,2017,M3,Cubic metres,6,Millions,,,312.585,,
AUS,Australia,REUSE,Total abstractions of reused water,2018,2018,M3,Cubic metres,6,Millions,,,318.069,,
AUS,Australia,REUSE,Total abstractions of reused water,2019,2019,M3,Cubic metres,6,Millions,,,326.575,,
AUS,Australia,REUSE,Total abstractions of reused water,2020,2020,M3,Cubic metres,6,Millions,,,308.125,,
AUS,Australia,REUSE,Total abstractions of reused water,2021,2021,M3,Cubic metres,6,Millions,,,297.307,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2005,2005,M3,Cubic metres,6,Millions,,,13.035,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2010,2010,M3,Cubic metres,6,Millions,,,30,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2015,2015,M3,Cubic metres,6,Millions,,,28.194,B,Break
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2016,2016,M3,Cubic metres,6,Millions,,,30.193,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2017,2017,M3,Cubic metres,6,Millions,,,23.842,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2018,2018,M3,Cubic metres,6,Millions,,,18.807,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2019,2019,M3,Cubic metres,6,Millions,,,22.077,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2020,2020,M3,Cubic metres,6,Millions,,,23.174,,
AUS,Australia,REUSE_MANU,Abstractions for manufacturing. Reused water,2021,2021,M3,Cubic metres,6,Millions,,,25.288,,
AUS,Australia,LOSS_TOT,Total losses during transport,2005,2005,M3,Cubic metres,6,Millions,,,2022.07,,
AUS,Australia,LOSS_TOT,Total losses during transport,2010,2010,M3,Cubic metres,6,Millions,,,1805,,
AUS,Australia,PUB,Public water supply,2010,2010,M3,Cubic metres,6,Millions,,,3196,,
AUS,Australia,PUB,Public water supply,2015,2015,M3,Cubic metres,6,Millions,,,3453.454,B,Break
AUS,Australia,PUB,Public water supply,2016,2016,M3,Cubic metres,6,Millions,,,3528.959,,
AUS,Australia,PUB,Public water supply,2017,2017,M3,Cubic metres,6,Millions,,,3423.44,,
AUS,Australia,PUB,Public water supply,2018,2018,M3,Cubic metres,6,Millions,,,3633.213,,
AUS,Australia,PUB,Public water supply,2019,2019,M3,Cubic metres,6,Millions,,,3717.863,,
AUS,Australia,PUB,Public water supply,2020,2020,M3,Cubic metres,6,Millions,,,3630.976,,
AUS,Australia,PUB,Public water supply,2021,2021,M3,Cubic metres,6,Millions,,,3557.135,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2010,2010,M3,Cubic metres,6,Millions,,,251,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2015,2015,M3,Cubic metres,6,Millions,,,591.447,B,Break
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2016,2016,M3,Cubic metres,6,Millions,,,631.17,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2017,2017,M3,Cubic metres,6,Millions,,,562.623,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2018,2018,M3,Cubic metres,6,Millions,,,640.291,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2019,2019,M3,Cubic metres,6,Millions,,,673.973,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2020,2020,M3,Cubic metres,6,Millions,,,642.874,,
AUS,Australia,PUB_AGR,"Public water supply for agriculture, forestry and fishing",2021,2021,M3,Cubic metres,6,Millions,,,644.711,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2010,2010,M3,Cubic metres,6,Millions,,,36,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2015,2015,M3,Cubic metres,6,Millions,,,35.011,B,Break
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2016,2016,M3,Cubic metres,6,Millions,,,37.428,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2017,2017,M3,Cubic metres,6,Millions,,,40.692,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2018,2018,M3,Cubic metres,6,Millions,,,43.757,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2019,2019,M3,Cubic metres,6,Millions,,,49.585,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2020,2020,M3,Cubic metres,6,Millions,,,57.561,,
AUS,Australia,PUB_MINE,Public water supply for mining and quarrying,2021,2021,M3,Cubic metres,6,Millions,,,46.709,,
