COU,country,MAT,material,STREAMs,stream,YEA,year,value,Flag Codes,Flags
AUS,Australia,PAPER,"Paper, paperboard and paper products",GEN,Waste generated,2015,2015,5330.336,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",GEN,Waste generated,2016,2016,6057.521,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",GEN,Waste generated,2017,2017,6189.156,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",GEN,Waste generated,2018,2018,6050.965,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",GEN,Waste generated,2019,2019,5924.345,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2018,2018,1317.28,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2019,2019,1111.947,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2020,2020,1060.401,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",EXP_RECYCLE,Exports of waste for recycling,2021,2021,1045.394,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",RECYCLED,Waste recycled in country,2015,2015,3290.212,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",RECYCLED,Waste recycled in country,2016,2016,3711.8,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",RECYCLED,Waste recycled in country,2017,2017,3790.594,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",RECYCLED,Waste recycled in country,2018,2018,3662.831,,
AUS,Australia,PAPER,"Paper, paperboard and paper products",RECYCLED,Waste recycled in country,2019,2019,3528.624,,
AUS,Australia,GLASS,Glass,GEN,Waste generated,2015,2015,1099.942,,
AUS,Australia,GLASS,Glass,GEN,Waste generated,2016,2016,1172.82,,
AUS,Australia,GLASS,Glass,GEN,Waste generated,2017,2017,1133.563,,
AUS,Australia,GLASS,Glass,GEN,Waste generated,2018,2018,1172.806,,
AUS,Australia,GLASS,Glass,GEN,Waste generated,2019,2019,1163,,
AUS,Australia,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2018,2018,23.168,,
AUS,Australia,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2019,2019,16.1,,
AUS,Australia,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2020,2020,25.879,,
AUS,Australia,GLASS,Glass,EXP_RECYCLE,Exports of waste for recycling,2021,2021,0.377,,
AUS,Australia,GLASS,Glass,RECYCLED,Waste recycled in country,2015,2015,625.374,,
AUS,Australia,GLASS,Glass,RECYCLED,Waste recycled in country,2016,2016,695.06,,
AUS,Australia,GLASS,Glass,RECYCLED,Waste recycled in country,2017,2017,642.443,,
AUS,Australia,GLASS,Glass,RECYCLED,Waste recycled in country,2018,2018,706.415,,
AUS,Australia,GLASS,Glass,RECYCLED,Waste recycled in country,2019,2019,687.8,,
AUS,Australia,PLASTIC,Plastics,GEN,Waste generated,2015,2015,2536.852,,
AUS,Australia,PLASTIC,Plastics,GEN,Waste generated,2016,2016,2652.584,,
AUS,Australia,PLASTIC,Plastics,GEN,Waste generated,2017,2017,2658.111,,
AUS,Australia,PLASTIC,Plastics,GEN,Waste generated,2018,2018,2483.968,,
AUS,Australia,PLASTIC,Plastics,GEN,Waste generated,2019,2019,2537.476,,
AUS,Australia,PLASTIC,Plastics,EXP_RECYCLE,Exports of waste for recycling,2018,2018,158.742,,
AUS,Australia,PLASTIC,Plastics,EXP_RECYCLE,Exports of waste for recycling,2019,2019,186.739,,
AUS,Australia,PLASTIC,Plastics,EXP_RECYCLE,Exports of waste for recycling,2020,2020,112.546,,
AUS,Australia,PLASTIC,Plastics,EXP_RECYCLE,Exports of waste for recycling,2021,2021,124.098,,
AUS,Australia,PLASTIC,Plastics,RECYCLED,Waste recycled in country,2015,2015,334.326,,
AUS,Australia,PLASTIC,Plastics,RECYCLED,Waste recycled in country,2016,2016,338.847,,
AUS,Australia,PLASTIC,Plastics,RECYCLED,Waste recycled in country,2017,2017,306.148,,
AUS,Australia,PLASTIC,Plastics,RECYCLED,Waste recycled in country,2018,2018,320.76,,
AUS,Australia,PLASTIC,Plastics,RECYCLED,Waste recycled in country,2019,2019,325.065,,
AUS,Australia,PLASTIC,Plastics,INC_RECOVERY,Waste incinerated with energy recovery,2015,2015,16.5,,
AUS,Australia,PLASTIC,Plastics,INC_RECOVERY,Waste incinerated with energy recovery,2016,2016,21.93,,
AUS,Australia,PLASTIC,Plastics,INC_RECOVERY,Waste incinerated with energy recovery,2017,2017,28.47,,
AUS,Australia,PLASTIC,Plastics,INC_RECOVERY,Waste incinerated with energy recovery,2018,2018,4.185,,
AUS,Australia,PLASTIC,Plastics,INC_RECOVERY,Waste incinerated with energy recovery,2019,2019,67.889,,
AUS,Australia,METAL,All metals,GEN,Waste generated,2015,2015,5433.069,,
AUS,Australia,METAL,All metals,GEN,Waste generated,2016,2016,5081.257,,
AUS,Australia,METAL,All metals,GEN,Waste generated,2017,2017,5707.614,,
AUS,Australia,METAL,All metals,GEN,Waste generated,2018,2018,5549.641,,
AUS,Australia,METAL,All metals,GEN,Waste generated,2019,2019,5601.571,,
AUS,Australia,METAL,All metals,RECYCLED,Waste recycled in country,2015,2015,4831.698,,
AUS,Australia,METAL,All metals,RECYCLED,Waste recycled in country,2016,2016,4517.214,,
AUS,Australia,METAL,All metals,RECYCLED,Waste recycled in country,2017,2017,5147.431,,
AUS,Australia,METAL,All metals,RECYCLED,Waste recycled in country,2018,2018,5003.695,,
AUS,Australia,METAL,All metals,RECYCLED,Waste recycled in country,2019,2019,5037.99,,
AUS,Australia,MASONRY,Masonry materials,GEN,Waste generated,2015,2015,16263.249,,
AUS,Australia,MASONRY,Masonry materials,GEN,Waste generated,2016,2016,18292.244,,
AUS,Australia,MASONRY,Masonry materials,GEN,Waste generated,2017,2017,20176.89,,
AUS,Australia,MASONRY,Masonry materials,GEN,Waste generated,2018,2018,22169.009,,
AUS,Australia,MASONRY,Masonry materials,GEN,Waste generated,2019,2019,22891.677,,
AUS,Australia,MASONRY,Masonry materials,RECYCLED,Waste recycled in country,2015,2015,11227.832,,
AUS,Australia,MASONRY,Masonry materials,RECYCLED,Waste recycled in country,2016,2016,13474.354,,
AUS,Australia,MASONRY,Masonry materials,RECYCLED,Waste recycled in country,2017,2017,15374.899,,
AUS,Australia,MASONRY,Masonry materials,RECYCLED,Waste recycled in country,2018,2018,17468.646,,
AUS,Australia,MASONRY,Masonry materials,RECYCLED,Waste recycled in country,2019,2019,18673.169,,
AUS,Australia,ORGANIC,Organics,GEN,Waste generated,2015,2015,13804.275,,
AUS,Australia,ORGANIC,Organics,GEN,Waste generated,2016,2016,12855.726,,
AUS,Australia,ORGANIC,Organics,GEN,Waste generated,2017,2017,12469.059,,
AUS,Australia,ORGANIC,Organics,GEN,Waste generated,2018,2018,12544.258,,
AUS,Australia,ORGANIC,Organics,GEN,Waste generated,2019,2019,12589.199,,
AUS,Australia,ORGANIC,Organics,RECYCLED,Waste recycled in country,2015,2015,6085.457,,
AUS,Australia,ORGANIC,Organics,RECYCLED,Waste recycled in country,2016,2016,5586.496,,
AUS,Australia,ORGANIC,Organics,RECYCLED,Waste recycled in country,2017,2017,5156.455,,
AUS,Australia,ORGANIC,Organics,RECYCLED,Waste recycled in country,2018,2018,5317.396,,
AUS,Australia,ORGANIC,Organics,RECYCLED,Waste recycled in country,2019,2019,5402.639,,
AUS,Australia,ORGANIC,Organics,INC_RECOVERY,Waste incinerated with energy recovery,2019,2019,1589.019,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,GEN,Waste generated,2015,2015,5319.763,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,GEN,Waste generated,2016,2016,5688.809,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,GEN,Waste generated,2017,2017,6378.169,,
AUS,Australia,SOLID_HAZW,Solid hazardous waste,GEN,Waste generated,2018,2018,7759.133,,
